"ID","Year","Age","AgeGroup","Weight","RTL","qPCRPlate","qPCRRow","Fecundity","Twinning","LambSex","LambSurvival","ReproIndex","ReproStatus"
2784,2000,7,3,25.8,1.78738171278432,31,"G",1,0,1,1,3,"3"
2784,2001,8,3,26,2.16537475064045,18,"A",1,0,1,1,3,"3"
2784,2002,9,3,25.6,1.88487080088122,60,"C",1,0,1,1,3,"3"
2784,2003,10,3,24.7,1.94295170896218,64,"F",1,0,1,1,3,"3"
2784,2004,11,3,22.75,1.50282501613865,25,"G",1,0,1,1,3,"3"
2787,1998,5,2,25.1,1.95905707935486,53,"B",1,0,2,1,3,"3"
2787,1999,6,2,25.5,1.42902954259232,73,"F",1,0,2,1,3,"3"
2787,2000,7,3,25.7,1.39356294939292,34,"C",1,0,1,1,3,"3"
2787,2001,8,3,25.7,1.77766954186627,94,"B",1,0,1,1,3,"3"
2787,2002,9,3,25.6,1.7874940426786,53,"H",1,1,2,1,5,"3"
2787,2003,10,3,26.15,2.04345299654045,66,"E",1,1,1,1,6,"3"
2787,2004,11,3,24.2,2.07728266407828,86,"C",1,0,2,1,3,"3"
2787,2005,12,3,21.25,1.55963050571478,33,"F",1,0,2,0,2,"2"
2800,2003,10,3,25.75,1.6977432148853,79,"A",1,1,3,1,6,"3"
2829,1999,6,2,23.1,1.99736224307263,68,"D",1,0,1,1,3,"3"
2829,2001,8,3,22.5,1.66801824934273,94,"A",1,0,2,1,3,"3"
2834,1998,5,2,23.1,2.06469283143574,88,"D",1,1,1,1,6,"3"
2834,1999,6,2,25.2,1.76572599339842,77,"D",1,1,2,1,6,"3"
2834,2000,7,3,25.1,2.22033165199287,26,"B",1,1,3,1,6,"3"
2834,2001,8,3,24.9,1.9046331757743,2,"B",1,0,1,1,3,"3"
2834,2003,10,3,27.15,2.37623830868817,63,"D",1,0,1,1,3,"3"
2847,1998,5,2,23,1.717832626727,48,"H",1,0,2,1,3,"3"
2847,1999,6,2,26.5,1.56251836467664,62,"C",1,0,1,1,3,"3"
2847,2001,8,3,22.7,1.30253136579035,15,"B",1,1,3,1,6,"3"
2853,1998,5,2,20.6,1.71759199255211,54,"E",1,1,1,1,5,"3"
2853,1999,6,2,22.7,1.84411538441527,74,"F",1,0,2,1,3,"3"
2860,1998,5,2,22.6,1.6358183760782,55,"D",1,0,1,1,3,"3"
2860,2001,8,3,23.1,1.61301608215398,83,"D",1,0,1,1,3,"3"
2860,2004,11,3,20,2.26911439727431,25,"G",1,0,2,1,3,"3"
2861,1998,5,2,23.5,1.46803715431635,56,"A",1,1,1,1,6,"3"
2861,2001,8,3,24.3,1.65231030838609,7,"H",1,1,2,1,6,"3"
2868,1999,6,2,27.5,1.43611652425023,68,"G",0,0,4,0,1,"1"
2868,2000,7,3,27.8,0.9102133126075,36,"A",0,0,4,0,1,"1"
2868,2001,8,3,28.9,1.44844482629012,93,"E",0,0,4,0,1,"1"
2868,2002,9,3,27.6,1.71726109645355,89,"C",0,0,4,0,1,"1"
2868,2003,10,3,28.8,1.6435114500636,64,"B",0,0,4,0,1,"1"
2868,2004,11,3,27.65,1.62314705554076,86,"H",0,0,4,0,1,"1"
2868,2005,12,3,26.2,1.40090137876162,37,"D",0,0,4,0,1,"1"
2868,2006,13,3,22.35,1.14032051878991,75,"C",0,0,4,0,1,"1"
2873,1998,5,2,18.8,2.06313815285203,59,"C",1,0,1,1,3,"3"
2873,1999,6,2,19.3,1.58628540531994,77,"E",1,0,1,1,3,"3"
2892,1998,5,2,21.7,1.43557014265271,57,"F",1,0,1,1,3,"3"
2892,1999,6,2,21.5,1.70085099037363,70,"A",1,0,1,1,3,"3"
2892,2000,7,3,22.8,1.10240244408413,35,"F",1,1,3,1,6,"3"
2899,1998,5,2,22.9,1.36869174416875,49,"F",1,0,2,1,3,"3"
2908,1999,6,2,23.5,1.68866704869884,65,"H",1,1,2,1,6,"3"
2908,2001,8,3,22.2,2.13489233163808,85,"A",1,0,2,1,3,"3"
2927,1999,6,2,21.2,1.88172963347322,78,"B",1,0,2,1,3,"3"
2927,2001,8,3,22.5,1.47310665356952,11,"G",1,0,1,1,3,"3"
2927,2002,9,3,20,1.45684464716148,41,"H",1,0,2,1,3,"3"
2927,2003,10,3,20.55,2.30428518640896,91,"B",1,0,1,1,3,"3"
2931,1998,5,2,21.3,1.63444366472499,50,"C",1,0,1,1,3,"3"
2931,2001,8,3,20.9,2.31155816579629,19,"A",1,0,1,1,3,"3"
2941,1998,5,2,24.7,2.25285878635353,41,"D",1,1,3,1,6,"3"
2941,1999,6,2,21.3,2.57852172758237,65,"A",0,0,4,0,1,"1"
2941,2000,7,3,23.2,1.80912225668084,29,"C",1,1,1,1,6,"3"
2942,1998,5,2,25.5,1.52020560741578,52,"E",1,0,1,1,3,"3"
2942,2001,8,3,24.8,1.65080255972363,7,"B",1,0,4,1,3,"3"
2963,1998,5,2,24.6,1.86050413231792,82,"B",1,1,1,1,6,"3"
2963,1999,6,2,29.3,1.70016163651684,75,"G",1,1,2,0,4,"2"
2963,2000,7,3,29.6,1.67648466703678,34,"F",1,0,1,1,3,"3"
2963,2001,8,3,27.9,2.31656941052629,5,"D",0,0,4,0,1,"1"
2964,1998,5,2,20.5,1.92677988520787,88,"F",1,0,2,1,3,"3"
3002,1999,5,2,22.6,1.73768258682682,80,"E",1,0,2,1,3,"3"
3002,2002,8,3,19.5,1.68666476937554,46,"C",1,0,1,1,3,"3"
3002,2003,9,3,20.6,1.66714552916865,65,"E",1,0,1,1,3,"3"
3009,1999,5,2,21.3,1.83089540095165,92,"E",1,0,2,1,3,"3"
3009,2001,7,3,21.7,0.999048750201123,18,"E",1,0,1,1,3,"3"
3009,2004,10,3,20.35,1.34983829194948,87,"A",1,0,2,1,3,"3"
3027,1998,4,2,24,1.69929624550341,89,"C",1,0,1,1,3,"3"
3033,1998,4,2,19,1.99511753497788,88,"F",1,0,1,1,3,"3"
3076,1998,4,2,20.9,2.03871155622392,82,"H",1,0,1,1,3,"3"
3076,2002,8,3,19.800001,1.78808740211671,90,"F",1,0,1,1,3,"3"
3076,2003,9,3,22.15,1.66311473614703,77,"H",1,1,3,1,6,"3"
3111,1998,4,2,23.1,2.38384261969021,55,"A",1,0,1,1,3,"3"
3111,1999,5,2,23.8,2.30700716241136,63,"F",1,0,2,1,3,"3"
3121,1998,4,2,25.7,1.08151081617605,56,"G",1,0,1,1,3,"3"
3121,2001,7,3,25.1,1.78741447755888,11,"E",1,1,3,1,6,"3"
3123,1999,5,2,22.1,1.99546660355954,80,"D",1,0,1,0,2,"2"
3123,2000,6,2,28.7,1.83537865110212,33,"H",1,0,2,1,3,"3"
3198,1999,4,2,18.6,1.49068710103756,65,"B",1,0,2,1,3,"3"
3198,2001,6,2,19.6,2.28970195013206,5,"G",1,0,2,1,3,"3"
3198,2002,7,3,18.2,1.82809005535557,91,"G",1,0,1,1,3,"3"
3201,1999,4,2,27.9,1.43397671985319,72,"H",1,0,1,1,3,"3"
3201,2002,7,3,23.400002,1.5032556503052,42,"B",1,0,1,1,3,"3"
3201,2003,8,3,23.35,1.41962867419311,61,"D",1,1,1,1,6,"3"
3201,2004,9,3,20.8,1.39411234838103,35,"D",1,0,1,1,3,"3"
3202,1999,4,2,23.8,1.11293925218103,75,"F",1,0,2,1,3,"3"
3202,2000,5,2,25.2,1.68177266445248,34,"B",1,0,1,1,3,"3"
3202,2001,6,2,25.7,1.78339968838944,15,"E",1,0,2,1,3,"3"
3202,2003,8,3,27.8,1.91713012021955,66,"A",1,1,2,1,6,"3"
3203,1998,3,2,20.9,1.80891945002568,52,"G",1,0,1,1,3,"3"
3203,1999,4,2,22.7,1.29022368483416,70,"D",1,0,2,1,3,"3"
3203,2000,5,2,24.2,1.17422556923612,31,"D",1,0,2,1,3,"3"
3203,2001,6,2,22.6,1.82622173303361,12,"B",1,0,2,1,3,"3"
3203,2003,8,3,25.25,1.61768938584882,61,"C",1,0,2,1,3,"3"
3209,2000,5,2,24.6,1.99641065141372,26,"D",1,0,1,1,3,"3"
3209,2002,7,3,24.2,2.50392619095542,43,"B",1,0,2,1,3,"3"
3209,2004,9,3,25.2,1.76698835211431,33,"C",1,0,2,0,2,"2"
3214,1998,3,2,20.6,1.59198129011323,41,"A",1,0,1,1,3,"3"
3214,2002,7,3,24.400002,1.84208890692538,59,"E",1,0,1,1,3,"3"
3224,1999,4,2,20.5,1.97960596427517,65,"F",1,0,1,1,3,"3"
3224,2001,6,2,20.9,2.05140959701996,19,"C",1,0,1,1,3,"3"
3236,1998,3,2,17.9,1.61392993449288,54,"B",1,0,1,1,3,"3"
3236,1999,4,2,20.8,1.68800731275346,78,"F",1,0,1,1,3,"3"
3236,2004,9,3,18.2,1.38610819805126,26,"E",1,0,1,1,3,"3"
3237,1999,4,2,23.8,1.63588517872823,76,"E",1,0,1,1,3,"3"
3237,2002,7,3,25.6,1.93634122184988,91,"F",1,0,4,0,2,"2"
3248,1999,4,2,20.6,1.77227926656424,73,"D",1,0,1,1,3,"3"
3248,2000,5,2,20.6,1.82717165361583,21,"B",1,0,2,1,3,"3"
3248,2001,6,2,22.4,1.60011366007245,18,"D",1,0,2,1,3,"3"
3250,1998,3,2,23.9,2.01255320289207,58,"H",1,0,2,1,3,"3"
3250,1999,4,2,26.9,1.84336561737018,67,"E",1,0,1,1,3,"3"
3250,2000,5,2,27.6,1.74982267987762,34,"H",1,0,1,1,3,"3"
3250,2001,6,2,27.1,2.00124919202318,9,"D",1,0,1,1,3,"3"
3250,2002,7,3,28.400002,2.005205471114,48,"D",1,0,2,1,3,"3"
3250,2003,8,3,27.65,1.89794114644123,70,"B",1,1,2,1,6,"3"
3250,2004,9,3,25.6,1.84456570123414,35,"B",1,1,3,1,6,"3"
3250,2005,10,3,26.8,1.48232687068529,24,"A",1,0,1,1,3,"3"
3255,1999,4,2,22.9,1.87594203416168,73,"B",1,0,2,1,3,"3"
3255,2000,5,2,22,1.61819509769686,37,"D",1,1,2,1,6,"3"
3255,2001,6,2,21.7,1.77233012527034,20,"F",1,1,1,1,6,"3"
3255,2002,7,3,24.800001,1.80188830534918,41,"G",1,0,2,0,2,"2"
3255,2003,8,3,24.4,2.07082715740136,68,"B",1,0,1,1,3,"3"
3255,2004,9,3,24.95,1.79032356336944,33,"B",1,0,1,0,2,"2"
3255,2005,10,3,27,1.85902048708742,37,"C",0,0,4,0,1,"1"
3255,2006,11,3,28.4,1.61950142525761,62,"G",0,0,4,0,1,"1"
3255,2007,12,3,24.4,1.53222972996113,13,"G",0,0,4,0,1,"1"
3255,2008,13,3,18.9,1.65805543495107,39,"F",0,0,4,0,1,"1"
3259,2002,7,3,26.1,1.74811304653602,41,"E",1,1,3,1,6,"3"
3259,2003,8,3,26.5,2.09485911796485,62,"F",1,0,2,1,3,"3"
3259,2007,12,3,25.7,1.74151908739703,19,"A",1,0,1,1,3,"3"
3260,1998,3,2,20.1,1.69133789475267,53,"B",1,0,1,1,3,"3"
3260,2000,5,2,25.2,1.7360352627801,24,"E",1,0,2,1,3,"3"
3260,2001,6,2,23.8,1.80289909370693,94,"H",1,0,1,1,3,"3"
3265,1999,4,2,20.9,1.60186595195061,67,"D",1,0,2,0,2,"2"
3265,2001,6,2,21.5,1.67888887977473,18,"A",1,0,1,1,3,"3"
3265,2002,7,3,21.300001,1.82176517730393,91,"E",1,0,2,1,3,"3"
3265,2004,9,3,20.6,1.64021718548985,31,"G",1,0,2,1,3,"3"
3268,1998,3,2,23,2.19934503790371,91,"H",1,0,1,1,3,"3"
3268,1999,4,2,24.9,1.1682030912747,72,"F",1,0,2,0,2,"2"
3268,2000,5,2,27.2,1.84306923330379,33,"G",1,1,1,1,5,"3"
3268,2001,6,2,25.2,1.585092415166,4,"B",1,1,3,1,6,"3"
3268,2003,8,3,27.05,1.70740295607739,63,"C",1,0,2,1,3,"3"
3268,2004,9,3,24.75,1.71975800626333,31,"B",1,1,1,1,6,"3"
3268,2005,10,3,25.7,1.51393965370885,31,"A",1,1,1,1,6,"3"
3268,2006,11,3,25.25,1.59259842971296,61,"F",1,1,1,1,5,"3"
3273,1998,3,2,21.6,1.63092247332493,53,"A",1,0,1,1,3,"3"
3273,1999,4,2,22.7,1.53208917067117,80,"E",1,0,1,1,3,"3"
3273,2001,6,2,23.9,1.24627977557752,14,"G",1,0,2,1,3,"3"
3273,2002,7,3,24.2,1.89664326452805,48,"A",0,0,4,0,1,"1"
3275,1998,3,2,20.7,1.98324569662489,57,"B",0,0,4,0,1,"1"
3275,2001,6,2,23.7,1.94686572575097,2,"C",0,0,4,0,1,"1"
3275,2002,7,3,25.2,1.65535322541697,82,"B",0,0,4,0,1,"1"
3275,2004,9,3,22.75,2.56028629206439,38,"D",1,0,2,0,2,"2"
3279,1999,4,2,24.3,2.32761747999651,65,"A",1,0,2,0,2,"2"
3279,2000,5,2,27.2,1.7568848635423,25,"B",0,0,4,0,1,"1"
3279,2001,6,2,25.9,1.79506181399178,83,"D",1,0,2,1,3,"3"
